,Scaled sound pressure level
0,127.365
1,132.304
2,134.058
3,122.086
4,128.169
5,121.659
6,120.755
7,126.001
8,120.319
9,122.365
10,128.99
11,121.93
12,120.446
13,129.095
14,119.146
15,126.713
16,128.335
17,130.795
18,132.039
19,116.694
20,127.094
21,129.691
22,108.649
23,130.845
24,123.761
25,124.555
26,121.514
27,123.217
28,119.916
29,131.184
30,131.453
31,113.799
32,129.057
33,134.236
34,131.073
35,122.675
36,121.284
37,120.154
38,118.108
39,125.048
40,114.75
41,117.789
42,133.062
43,127.548
44,135.468
45,120.227
46,125.816
47,128.139
48,133.48
49,116.924
50,122.229
51,112.506
52,124.717
53,117.724
54,127.864
55,133.503
56,134.556
57,119.541
58,128.36
59,125.398
60,124.839
61,127.834
62,119.111
63,117.514
64,123.705
65,133.38
66,128.643
67,124.458
68,124.276
69,126.645
70,119.806
71,121.318
72,114.474
73,128.718
74,121.824
75,116.165
76,125.045
77,131.955
78,127.299
79,135.953
80,119.606
81,128.338
82,110.307
83,120.136
84,119.209
85,126.097
86,129.567
87,107.985
88,131.918
89,126.43
90,117.624
91,126.599
92,113.333
93,126.5
94,127.947
95,127.246
96,123.263
97,115.996
98,131.8
99,128.595
100,126.898
101,132.301
102,128.127
103,131.92
104,130.725
105,128.354
106,123.091
107,120.657
108,126.835
109,124.647
110,122.035
111,127.314
112,126.021
113,115.857
114,122.147
115,117.957
116,117.927
117,133.611
118,126.537
119,137.813
120,130.588
121,108.721
122,128.518
123,129.308
124,119.319
125,115.466
126,115.372
127,118.134
128,133.768
129,128.306
130,128.677
131,124.395
132,128.978
133,114.477
134,136.166
135,129.964
136,129.367
137,133.649
138,126.675
139,131.708
140,128.879
141,132.114
142,132.127
143,122.471
144,120.055
145,113.034
146,126.465
147,120.509
148,124.931
149,125.114
150,133.174
151,126.926
152,115.893
153,126.514
154,138.758
155,128.339
156,113.108
157,126.896
158,131.074
159,123.894
160,121.66
161,118.816
162,130.148
163,119.875
164,130.4
165,121.528
166,127.92
167,117.253
168,112.93
169,115.863
170,132.587
171,127.796
172,132.918
173,125.484
174,119.505
175,122.539
176,126.59
177,121.635
178,128.536
179,124.692
180,113.129
181,127.054
182,118.757
183,126.201
184,123.742
185,121.225
186,116.603
187,126.807
188,120.952
189,118.564
190,126.743
191,120.575
192,130.469
193,114.67
194,120.233
195,133.846
196,120.034
197,125.261
198,129.144
199,134.152
200,134.976
201,131.015
202,119.174
203,115.801
204,120.779
205,116.225
206,112.169
207,116.55
208,130.746
209,130.955
210,130.791
211,128.257
212,124.986
213,123.189
214,129.099
215,112.803
216,123.917
217,124.338
218,115.304
219,134.34
220,116.134
221,129.68
222,119.159
223,116.724
224,116.559
225,120.076
226,123.354
227,133.707
228,125.872
229,130.964
230,124.748
231,136.941
232,113.958
233,118.994
234,123.453
235,126.416
236,109.663
237,123.635
238,110.124
239,131.221
240,119.229
241,136.284
242,126.343
243,108.689
244,117.967
245,124.881
246,127.039
247,129.58
248,111.459
249,110.313
250,115.085
251,129.645
252,128.939
253,127.315
254,130.898
255,133.048
256,128.492
257,123.74
258,124.394
259,120.228
260,130.869
261,135.459
262,135.426
263,128.74
264,120.702
265,116.295
266,126.79
267,128.402
268,123.207
269,126.933
270,119.099
271,131.434
272,133.355
273,111.135
274,125.39
275,127.899
276,130.206
277,114.751
278,120.766
279,126.644
280,133.207
281,131.458
282,134.228
283,129.667
284,119.253
285,121.397
286,124.188
287,138.537
288,134.111
289,128.179
290,118.084
291,127.928
292,118.122
293,134.87
294,135.234
295,129.8
296,136.103
297,133.664
298,131.807
299,127.329
300,130.307
301,131.966
302,133.153
303,116.411
304,115.321
305,130.123
306,108.684
307,116.849
308,136.384
309,124.987
310,119.632
311,131.06
312,122.341
313,129.633
314,124.838
315,114.044
316,121.617
317,124.512
318,108.034
319,119.561
320,133.553
321,116.366
322,125.527
323,127.847
324,126.838
325,120.555
326,113.775
327,130.348
328,134.226
329,123.742
330,119.039
331,126.267
332,127.461
333,125.22
334,129.5
335,120.264
336,126.395
337,116.92
338,120.472
339,116.128
340,132.358
341,119.19
342,129.864
343,123.695
344,119.777
345,118.827
346,126.508
347,130.67
348,130.049
349,133.223
350,114.418
351,133.808
352,136.583
353,125.211
354,121.582
355,129.552
356,127.781
357,122.315
358,120.654
359,116.02
360,133.023
361,132.158
362,120.534
363,132.395
364,122.893
365,127.197
366,112.541
367,127.122
368,123.865
369,131.491
370,112.241
371,133.23
372,127.623
373,127.101
374,129.037
375,114.258
376,135.938
377,120.786
378,133.376
379,130.781
380,137.233
381,114.861
382,131.605
383,124.154
384,129.977
385,135.191
386,117.741
387,116.184
388,104.13
389,112.065
390,125.802
391,126.959
392,117.137
393,125.715
394,119.737
395,132.202
396,123.543
397,130.086
398,129.681
399,123.445
400,120.193
401,135.433
402,126.086
403,135.368
404,131.808
405,110.364
406,136.163
407,127.903
408,121.627
409,127.73
410,115.52
411,135.329
412,131.274
413,139.226
414,125.856
415,134.308
416,131.889
417,126.842
418,133.436
419,129.117
420,124.108
421,115.215
422,128.412
423,120.92
424,117.054
425,126.471
426,134.0
427,123.514
428,123.227
429,116.476
430,109.222
431,111.35
432,116.417
433,112.675
434,125.941
435,126.514
436,128.907
437,117.911
438,127.229
439,110.317
440,115.969
441,125.347
442,126.299
443,125.647
444,128.545
445,116.146
446,130.089
447,125.627
448,116.677
449,118.291
450,139.918
451,125.998
452,125.797
453,115.679
454,132.658
455,130.307
456,119.35
457,130.987
458,128.119
459,135.227
460,121.235
461,134.247
462,124.166
463,122.218
464,130.94
465,129.88
466,118.955
467,111.959
468,122.044
469,112.945
470,128.971
471,117.604
472,129.415
473,116.783
474,132.897
475,121.527
476,113.055
477,128.311
478,108.625
479,128.816
480,131.515
481,112.699
482,120.851
483,128.916
484,128.952
485,118.859
486,130.183
487,130.697
488,120.726
489,124.514
490,124.106
491,126.886
492,117.875
493,128.244
494,126.826
495,129.301
496,116.659
497,126.746
498,124.214
499,122.648
500,139.438
501,119.208
502,123.311
503,124.254
504,122.45
505,133.79
506,130.817
507,114.779
508,123.443
509,115.818
510,129.991
511,128.583
512,129.119
513,130.197
514,125.353
515,123.623
516,133.04
517,114.634
518,118.667
519,123.303
520,125.586
521,129.776
522,131.023
523,128.576
524,124.439
525,125.586
526,131.43
527,130.893
528,120.397
529,123.862
530,129.468
531,126.843
532,121.407
533,128.427
534,128.878
535,124.852
536,123.392
537,125.194
538,134.273
539,129.116
540,128.2
541,135.079
542,131.656
543,118.045
544,125.576
545,115.234
546,123.879
547,115.812
548,130.173
549,133.097
550,130.829
551,131.582
552,125.809
553,125.741
554,130.96
555,124.086
556,132.357
557,120.33
558,106.604
559,122.919
560,110.78
561,129.014
562,127.141
563,132.095
564,125.589
565,129.946
566,126.049
567,127.285
568,130.392
569,111.029
570,125.721
571,106.111
572,124.355
573,134.227
574,131.036
575,106.224
576,129.973
577,122.413
578,125.524
579,120.015
580,125.026
581,125.348
582,117.976
583,113.076
584,133.01
585,121.118
586,133.235
587,133.241
588,130.787
589,128.241
590,128.401
591,110.652
592,131.96
593,133.251
594,116.241
595,133.728
596,126.78
597,122.375
598,130.89
599,123.609
600,130.496
601,123.209
602,121.474
603,127.638
604,110.224
605,115.298
606,127.686
607,127.404
608,122.94
609,130.541
610,125.857
611,132.304
612,127.465
613,124.253
614,112.209
615,120.569
616,119.137
617,124.273
618,133.587
619,124.222
620,110.264
621,109.718
622,137.068
623,131.264
624,121.851
625,119.294
626,122.771
627,130.144
628,140.987
629,127.688
630,130.934
631,131.456
632,128.296
633,124.756
634,127.815
635,127.443
636,127.488
637,134.826
638,137.026
639,135.484
640,130.349
641,119.115
642,128.698
643,127.398
644,122.17
645,130.961
646,114.554
647,124.208
648,121.587
649,117.154
650,126.291
651,134.11
652,125.625
653,111.911
654,129.27
655,122.956
656,127.358
657,128.246
658,131.836
659,136.886
660,125.867
661,120.607
662,133.378
663,125.63
664,130.935
665,136.023
666,119.639
667,127.008
668,126.995
669,129.053
670,134.853
671,128.825
672,128.29
673,128.762
674,140.158
675,130.828
676,127.054
677,118.545
678,112.688
679,123.82
680,123.255
681,112.768
682,128.144
683,133.012
684,111.588
685,131.807
686,124.304
687,133.774
688,123.416
689,127.591
690,118.129
691,114.569
692,129.744
693,131.636
694,134.568
695,130.156
696,133.758
697,116.468
698,127.71
699,130.156
700,131.471
701,128.633
702,115.461
703,122.708
704,135.49
705,120.595
706,127.676
707,125.465
708,130.723
709,127.307
710,124.121
711,133.201
712,131.78
713,119.135
714,126.066
715,130.065
716,122.766
717,121.664
718,125.966
719,128.708
720,127.224
721,128.334
722,131.236
723,117.809
724,115.311
725,126.195
726,111.818
727,128.629
728,133.311
729,118.904
730,129.377
731,130.311
732,110.894
733,130.558
734,125.398
735,120.058
736,118.41
737,138.523
738,137.658
739,135.54
740,118.134
741,127.127
742,124.835
743,124.101
744,122.088
745,132.611
746,128.763
747,115.413
748,115.691
749,127.763
750,133.198
751,128.939
752,132.355
753,127.375
754,113.796
755,131.467
756,113.298
757,130.46
758,130.688
759,121.154
760,129.949
761,134.946
762,133.042
763,119.343
764,117.504
765,117.284
766,138.423
767,122.292
768,122.435
769,123.127
770,122.797
771,111.534
772,123.213
773,128.252
774,122.205
775,129.134
776,130.503
777,121.238
778,119.513
779,126.642
780,125.727
781,125.603
782,126.345
783,125.157
784,120.037
785,122.175
786,127.095
787,116.815
788,110.515
789,123.069
790,110.839
791,126.349
792,128.562
793,133.42
794,127.614
795,113.045
796,107.284
797,135.308
798,115.635
799,129.953
800,123.236
801,121.903
802,129.777
803,123.564
804,109.52
805,131.346
806,129.256
807,131.31
808,122.845
809,124.612
810,120.484
811,135.328
812,113.11
813,119.854
814,135.674
815,115.144
816,120.527
817,125.631
818,116.792
819,124.077
820,112.639
821,118.091
822,120.513
823,126.266
824,122.149
825,132.003
826,127.04
827,128.647
828,125.992
829,122.211
830,133.956
831,130.589
832,131.642
833,122.082
834,127.556
835,124.493
836,120.553
837,122.439
838,122.606
839,124.244
840,125.094
841,132.828
842,127.7
843,122.765
844,125.343
845,125.044
846,136.826
847,107.405
848,123.465
849,119.535
850,132.184
851,125.127
852,117.134
853,129.006
854,127.315
855,136.414
856,135.803
857,117.151
858,125.401
859,118.214
860,121.762
861,122.966
862,121.234
863,131.01
864,138.274
865,124.233
866,123.417
867,132.898
868,116.074
869,121.399
870,121.775
871,128.805
872,124.843
873,126.446
874,121.059
875,118.385
876,132.886
877,126.356
878,106.582
879,120.147
880,131.111
881,128.857
882,110.491
883,123.775
884,120.078
885,125.724
886,136.678
887,125.01
888,132.252
889,134.938
890,119.224
891,127.417
892,132.796
893,120.981
894,130.332
895,114.309
896,128.484
897,133.79
898,127.753
899,118.267
900,125.89
901,125.728
902,128.444
903,123.46
904,113.665
905,118.619
906,129.569
907,139.428
908,104.204
909,114.085
910,124.336
911,127.634
912,120.189
913,120.963
914,127.53
915,110.689
916,129.038
917,117.195
918,126.152
919,137.047
920,127.006
921,122.41
922,116.967
923,135.324
924,131.864
925,138.607
926,118.634
927,134.498
928,135.38
929,127.22
930,113.315
931,126.045
932,121.106
933,130.217
934,124.45
935,127.076
936,131.518
937,129.002
938,122.612
939,124.364
940,127.696
941,121.055
942,134.319
943,109.638
944,115.792
945,119.737
946,128.809
947,122.754
948,118.145
949,129.934
950,132.011
951,125.305
952,115.89
953,132.118
954,122.428
955,129.395
956,123.839
957,132.134
958,116.151
959,120.798
960,123.807
961,130.374
962,129.235
963,126.846
964,121.657
965,128.416
966,120.538
967,124.155
968,122.724
969,124.024
970,129.285
971,114.453
972,118.05
973,119.151
974,126.616
975,130.777
976,122.232
977,112.355
978,113.086
979,133.924
980,130.335
981,118.941
982,124.318
983,113.004
984,131.817
985,130.989
986,124.17
987,128.345
988,117.649
989,132.588
990,112.039
991,121.728
992,121.306
993,123.583
994,117.093
995,128.705
996,124.685
997,119.708
998,135.07
999,126.159
1000,125.025
1001,129.969
1002,128.264
1003,133.894
1004,136.758
1005,117.386
1006,128.977
1007,117.396
1008,115.309
1009,132.354
1010,129.395
1011,129.848
1012,121.944
1013,117.432
1014,113.08
1015,121.301
1016,134.058
1017,121.009
1018,117.287
1019,125.951
1020,136.536
1021,133.598
1022,115.91
1023,124.393
1024,118.922
1025,129.465
1026,120.354
1027,126.54
1028,125.683
1029,117.996
1030,128.829
1031,132.513
1032,131.279
1033,122.235
1034,127.408
1035,130.715
1036,134.515
1037,120.324
1038,130.026
1039,110.868
1040,116.017
1041,118.416
1042,113.144
1043,124.426
1044,120.766
1045,131.446
1046,130.595
1047,129.395
1048,114.9
1049,127.356
1050,125.555
1051,122.394
